0.124,-0.04836,0.00632,,
0.125,-0.04624,0.00683,,
0.126,-0.04226,0.00722,,
0.127,-0.0367,0.00744,,
0.128,-0.02993,0.00746,,
0.129,-0.02245,0.00725,,
0.13,-0.01477,0.00678,,
0.131,-0.00746,0.00608,,
0.132,-0.00103,0.00515,,
0.133,0.00405,0.00402,,
0.134,0.00743,0.00273,,
0.135,0.00886,0.00135,,
0.136,0.00823,-8.49E-05,,
0.137,0.00558,-0.0015,,
0.138,0.00109,-0.00284,,
0.139,-0.00494,-0.00404,,
0.14,-0.01204,-0.00506,,
0.141,-0.01971,-0.00586,,
0.142,-0.0274,-0.00642,,
0.143,-0.0346,-0.00673,,
0.144,-0.04079,-0.00678,,
0.145,-0.04553,-0.00658,,
0.146,-0.04851,-0.00616,,
0.147,-0.04956,-0.00555,,
0.148,-0.04865,-0.0048,,
0.149,-0.04591,-0.00394,,
0.15,-0.04159,-0.00301,,
0.151,-0.03608,-0.00206,,
0.152,-0.02985,-0.00116,,
0.153,-0.02339,-3.24E-04,,
0.154,-0.01725,3.97E-04,,
0.155,-0.01191,9.80E-04,,
0.156,-0.00782,0.0014,,
0.157,-0.0053,0.00163,,
0.158,-0.00453,0.00167,,
0.159,-0.00559,0.00153,,
0.16,-0.00837,0.00123,,
0.161,-0.01266,7.86E-04,,
0.162,-0.01814,2.32E-04,,
0.163,-0.02439,-3.90E-04,,
0.164,-0.03097,-0.00103,,
0.165,-0.03735,-0.00166,,
0.166,-0.0431,-0.00221,,
0.167,-0.04783,-0.00266,,
0.168,-0.05127,-0.00297,,
0.169,-0.05321,-0.0031,,
0.17,-0.0536,-0.00306,,
0.171,-0.05251,-0.00285,,
0.172,-0.05013,-0.00247,,
0.173,-0.04675,-0.00196,,
0.174,-0.04272,-0.00133,,
0.175,-0.03846,-6.34E-04,,
0.176,-0.03438,8.45E-05,,
0.177,-0.03084,7.88E-04,,
0.178,-0.02817,0.00144,,
0.179,-0.02662,0.002,,
0.18,-0.0263,0.00246,,
0.181,-0.02724,0.0028,,
0.182,-0.02936,0.00303,,
0.183,-0.03249,0.00314,,
0.184,-0.03637,0.00314,,
0.185,-0.04065,0.00306,,
0.186,-0.04499,0.00292,,
0.187,-0.04908,0.00275,,
0.188,-0.05263,0.00256,,
0.189,-0.05539,0.00235,,
0.19,-0.05719,0.00214,,
0.191,-0.05798,0.00193,,
0.192,-0.05779,0.00173,,
0.193,-0.05675,0.00152,,
0.194,-0.05507,0.00128,,
0.195,-0.05299,0.001,,
0.196,-0.05081,6.93E-04,,
0.197,-0.04883,3.34E-04,,
0.198,-0.0473,-7.44E-05,,
0.199,-0.04648,-5.38E-04,,
0.2,-0.04648,-0.00105,,
0.201,-0.04738,-0.00159,,
0.202,-0.04915,-0.00217,,
0.203,-0.05171,-0.00276,,
0.204,-0.05488,-0.00335,,
0.205,-0.05838,-0.00392,,
0.206,-0.06196,-0.00447,,
0.207,-0.06535,-0.00499,,
0.208,-0.0683,-0.00548,,
0.209,-0.07059,-0.00592,,
0.21,-0.07204,-0.0063,,
0.211,-0.07263,-0.00663,,
0.212,-0.07238,-0.00689,,
0.213,-0.07139,-0.00708,,
0.214,-0.06979,-0.00719,,
0.215,-0.06787,-0.0072,,
0.216,-0.0659,-0.00711,,
0.217,-0.06417,-0.00691,,
0.218,-0.06292,-0.00659,,
0.219,-0.06229,-0.00615,,
0.22,-0.06248,-0.00561,,
0.221,-0.06352,-0.00498,,
0.222,-0.06538,-0.00429,,
0.223,-0.06789,-0.00357,,
0.224,-0.07072,-0.00286,,
0.225,-0.07364,-0.00221,,
0.226,-0.07627,-0.00166,,
0.227,-0.07828,-0.00125,,
0.228,-0.07928,-0.00103,,
0.229,-0.0789,-9.92E-04,,
0.23,-0.07696,-0.00117,,
0.231,-0.07336,-0.00156,,
0.232,-0.06807,-0.00213,,
0.233,-0.0612,-0.00285,,
0.234,-0.0529,-0.00365,,
0.235,-0.04357,-0.00449,,
0.236,-0.03361,-0.00528,,
0.237,-0.02343,-0.00596,,
0.238,-0.0135,-0.00646,,
