0.132,-0.49739,-0.02522
0.133,-0.49739,-0.02522
0.134,-0.49739,-0.02522
0.135,-0.49739,-0.02522
0.136,-0.49739,-0.02522
0.137,-0.49739,-0.02522
0.138,-0.49739,-0.02522
0.139,-0.49739,-0.02522
0.14,-0.49739,-0.02522
0.141,-0.49739,-0.02522
0.142,-0.49739,-0.02522
0.143,-0.49739,-0.02522
0.144,-0.49739,-0.02522
0.145,-0.49739,-0.02522
0.146,-0.49739,-0.02522
0.147,-0.49739,-0.02522
0.148,-0.49739,-0.02522
0.149,-0.49739,-0.02522
0.15,-0.49739,-0.02522
0.151,-0.49739,-0.02522
0.152,-0.49739,-0.02522
0.153,-0.49739,-0.02522
0.154,-0.49739,-0.02522
0.155,-0.49739,-0.02522
0.156,-0.49739,-0.02522
0.157,-0.49739,-0.02522
0.158,-0.49739,-0.02522
0.159,-0.49739,-0.02522
0.16,-0.49739,-0.02522
0.161,-0.49739,-0.02522
0.162,-0.49739,-0.02522
0.163,-0.49739,-0.02522
0.164,-0.49739,-0.02522
0.165,-0.49739,-0.02522
0.166,-0.49739,-0.02522
0.167,-0.49739,-0.02522
0.168,-0.49739,-0.02522
0.169,-0.49739,-0.02522
0.17,-0.49739,-0.02522
0.171,-0.49739,-0.02522
0.172,-0.49739,-0.02522
0.173,-0.49748,-0.02523
0.174,-0.49722,-0.02522
0.175,-0.4966,-0.0252
0.176,-0.49576,-0.02517
0.177,-0.4952,-0.02515
0.178,-0.49574,-0.02517
0.179,-0.49762,-0.02523
0.18,-0.50079,-0.02534
0.181,-0.50433,-0.02547
0.182,-0.50659,-0.02555
0.183,-0.50566,-0.02551
0.184,-0.50044,-0.02532
0.185,-0.49118,-0.02499
0.186,-0.48009,-0.0246
0.187,-0.47114,-0.02428
0.188,-0.46915,-0.02422
0.189,-0.47941,-0.02459
0.19,-0.50488,-0.0255
0.191,-0.54562,-0.02694
0.192,-0.59812,-0.02877
0.193,-0.65557,-0.03071
0.194,-0.71074,-0.0325
0.195,-0.75622,-0.03386
0.196,-0.78644,-0.03459
0.197,-0.79811,-0.03457
0.198,-0.79014,-0.03379
0.199,-0.76482,-0.03236
0.2,-0.72522,-0.03042
0.201,-0.67454,-0.02811
0.202,-0.61532,-0.02556
0.203,-0.54922,-0.02286
0.204,-0.47868,-0.02013
0.205,-0.40543,-0.01743
0.206,-0.33127,-0.01484
0.207,-0.25814,-0.01242
0.208,-0.18793,-0.01025
0.209,-0.12329,-0.00838
0.21,-0.06556,-0.00685
0.211,-0.01574,-0.00567
0.212,0.02558,-0.00483
0.213,0.05834,-0.00431
0.214,0.08224,-0.00409
0.215,0.09832,-0.00411
0.216,0.10755,-0.00434
0.217,0.11088,-0.00472
0.218,0.10952,-0.0052
0.219,0.1039,-0.00576
0.22,0.09592,-0.00632
0.221,0.08676,-0.00686
0.222,0.0772,-0.00733
0.223,0.06797,-0.00771
0.224,0.05883,-0.00799
0.225,0.05073,-0.00814
0.226,0.04395,-0.00814
0.227,0.03844,-0.00799
0.228,0.0341,-0.0077
0.229,0.03026,-0.00729
0.23,0.02711,-0.00676
0.231,0.02459,-0.00613
0.232,0.02257,-0.00544
0.233,0.02099,-0.00472
0.234,0.01972,-0.00402
0.235,0.01889,-0.00336
0.236,0.01867,-0.0028
0.237,0.01922,-0.00236
0.238,0.02063,-0.0021
0.239,0.02308,-0.00203
0.24,0.02652,-0.00216
0.241,0.0309,-0.00251
0.242,0.03608,-0.00307
0.243,0.04182,-0.00383
0.244,0.04787,-0.00477
0.245,0.05378,-0.00585
0.246,0.05913,-0.00703
0.247,0.06348,-0.00828
0.248,0.06644,-0.00954
0.249,0.06769,-0.01077
0.25,0.06704,-0.01193
0.251,0.06438,-0.01298
0.252,0.05976,-0.0139
0.253,0.05339,-0.01465
0.254,0.04557,-0.0152
0.255,0.03678,-0.01555
0.256,0.02753,-0.0157
0.257,0.0184,-0.01564
0.258,0.00999,-0.01538
0.259,0.00284,-0.01491
0.26,-0.00261,-0.01428
0.261,-0.006,-0.0135
0.262,-0.00712,-0.0126
0.263,-0.00589,-0.01162
